phi=1.06, theta=0.71, zenith=0.73
phi=1.06, theta=0.83, zenith=0.63
phi=1.06, theta=0.96, zenith=0.52
phi=1.06, theta=1.09, zenith=0.41
phi=1.06, theta=1.22, zenith=0.31
phi=1.06, theta=1.35, zenith=0.20
phi=1.06, theta=1.47, zenith=0.08
phi=1.06, theta=4.81, zenith=0.08
phi=1.06, theta=4.94, zenith=0.20
phi=1.06, theta=5.07, zenith=0.31
phi=1.06, theta=5.19, zenith=0.41
phi=1.06, theta=5.32, zenith=0.52
phi=1.06, theta=5.45, zenith=0.63
phi=1.06, theta=5.58, zenith=0.73
phi=1.06, theta=5.71, zenith=0.82
phi=1.06, theta=5.83, zenith=0.90
phi=1.06, theta=5.96, zenith=0.97
phi=1.06, theta=6.09, zenith=1.03
phi=1.06, theta=6.22, zenith=1.05
phi=1.12, theta=0.06, zenith=1.12
phi=1.12, theta=0.19, zenith=1.09
phi=1.12, theta=0.32, zenith=1.03
phi=1.12, theta=0.45, zenith=0.95
phi=1.12, theta=0.58, zenith=0.86
phi=1.12, theta=0.71, zenith=0.76
phi=1.12, theta=0.83, zenith=0.65
phi=1.12, theta=0.96, zenith=0.54
phi=1.12, theta=1.09, zenith=0.43
phi=1.12, theta=1.22, zenith=0.32
phi=1.12, theta=1.35, zenith=0.20
phi=1.12, theta=1.47, zenith=0.09
phi=1.12, theta=4.81, zenith=0.09
phi=1.12, theta=4.94, zenith=0.20
phi=1.12, theta=5.07, zenith=0.32
phi=1.12, theta=5.19, zenith=0.43
phi=1.12, theta=5.32, zenith=0.54
phi=1.12, theta=5.45, zenith=0.65
phi=1.12, theta=5.58, zenith=0.76
phi=1.12, theta=5.71, zenith=0.86
phi=1.12, theta=5.83, zenith=0.95
phi=1.12, theta=5.96, zenith=1.03
phi=1.12, theta=6.09, zenith=1.09
phi=1.12, theta=6.22, zenith=1.12
phi=1.19, theta=0.06, zenith=1.18
phi=1.19, theta=0.19, zenith=1.14
phi=1.19, theta=0.32, zenith=1.08
phi=1.19, theta=0.45, zenith=0.99
phi=1.19, theta=0.58, zenith=0.89
phi=1.19, theta=0.71, zenith=0.78
phi=1.19, theta=0.83, zenith=0.67
phi=1.19, theta=0.96, zenith=0.56
phi=1.19, theta=1.09, zenith=0.44
phi=1.19, theta=1.22, zenith=0.33
phi=1.19, theta=1.35, zenith=0.21
phi=1.19, theta=1.47, zenith=0.09
phi=1.19, theta=4.81, zenith=0.09
phi=1.19, theta=4.94, zenith=0.21
phi=1.19, theta=5.07, zenith=0.33
phi=1.19, theta=5.19, zenith=0.44
phi=1.19, theta=5.32, zenith=0.56
phi=1.19, theta=5.45, zenith=0.67
phi=1.19, theta=5.58, zenith=0.78
phi=1.19, theta=5.71, zenith=0.89
phi=1.19, theta=5.83, zenith=0.99
phi=1.19, theta=5.96, zenith=1.08
phi=1.19, theta=6.09, zenith=1.14
phi=1.19, theta=6.22, zenith=1.18
phi=1.25, theta=0.06, zenith=1.24
phi=1.25, theta=0.19, zenith=1.20
phi=1.25, theta=0.32, zenith=1.12
phi=1.25, theta=0.45, zenith=1.03
phi=1.25, theta=0.58, zenith=0.92
phi=1.25, theta=0.71, zenith=0.81
phi=1.25, theta=0.83, zenith=0.69
phi=1.25, theta=0.96, zenith=0.57
phi=1.25, theta=1.09, zenith=0.45
phi=1.25, theta=1.22, zenith=0.33
phi=1.25, theta=1.35, zenith=0.21
phi=1.25, theta=1.47, zenith=0.09
phi=1.25, theta=4.81, zenith=0.09
phi=1.25, theta=4.94, zenith=0.21
phi=1.25, theta=5.07, zenith=0.33
phi=1.25, theta=5.19, zenith=0.45
phi=1.25, theta=5.32, zenith=0.57
phi=1.25, theta=5.45, zenith=0.69
phi=1.25, theta=5.58, zenith=0.81
phi=1.25, theta=5.71, zenith=0.92
phi=1.25, theta=5.83, zenith=1.03
phi=1.25, theta=5.96, zenith=1.12
phi=1.25, theta=6.09, zenith=1.20
phi=1.25, theta=6.22, zenith=1.24
phi=1.31, theta=0.06, zenith=1.31
phi=1.31, theta=0.19, zenith=1.25
phi=1.31, theta=0.32, zenith=1.16
phi=1.31, theta=0.45, zenith=1.06
phi=1.31, theta=0.58, zenith=0.95
phi=1.31, theta=0.71, zenith=0.83
phi=1.31, theta=0.83, zenith=0.71
phi=1.31, theta=0.96, zenith=0.59
phi=1.31, theta=1.09, zenith=0.46
phi=1.31, theta=1.22, zenith=0.34
phi=1.31, theta=1.35, zenith=0.22
phi=1.31, theta=1.47, zenith=0.09
phi=1.31, theta=4.81, zenith=0.09
phi=1.31, theta=4.94, zenith=0.22
phi=1.31, theta=5.07, zenith=0.34
phi=1.31, theta=5.19, zenith=0.46
phi=1.31, theta=5.32, zenith=0.59
phi=1.31, theta=5.45, zenith=0.71
phi=1.31, theta=5.58, zenith=0.83
phi=1.31, theta=5.71, zenith=0.95
phi=1.31, theta=5.83, zenith=1.06
phi=1.31, theta=5.96, zenith=1.16
phi=1.31, theta=6.09, zenith=1.25
phi=1.31, theta=6.22, zenith=1.31
phi=1.38, theta=0.06, zenith=1.37
phi=1.38, theta=0.19, zenith=1.30
phi=1.38, theta=0.32, zenith=1.20
phi=1.38, theta=0.45, zenith=1.09
